Date,Description,Amount,Category
2024-07-18,D-Mart Grocery,-3600,
2024-07-20,Pharmacy MedPlus,-680,
2024-07-22,Swiggy Order,-520,
2024-07-24,New Shoes Shopping,-3999,
2024-07-25,Jio Recharge,-299,
2024-07-27,Travel Hotel Booking,-6500,
2024-07-28,Gym Membership,-1200,
2024-07-30,Ola Cab,-280,
2024-08-01,Salary August 2024,70000,
2024-08-02,Swiggy Order,-600,
2024-08-04,Flipkart Independence Day Sale,-7899,
2024-08-06,Uber Cab,-430,
2024-08-08,Netflix Subscription,-649,
2024-08-10,Zomato Order,-480,
2024-08-12,Electricity Bill BESCOM,-2900,
2024-08-14,Petrol Pump,-2800,
2024-08-15,Spotify Premium,-119,
2024-08-17,D-Mart Grocery,-3400,
2024-08-19,Pharmacy Apollo,-550,
2024-08-21,Swiggy Order,-640,
2024-08-23,Movie Tickets BookMyShow,-880,
2024-08-25,Jio Recharge,-299,
2024-08-27,Restaurant Dinner,-2200,
2024-08-28,Gym Membership,-1200,
2024-08-30,Ola Cab,-330,
2024-09-01,Salary September 2024,70000,
2024-09-03,Swiggy Order,-560,
2024-09-05,Amazon Purchase,-3199,
2024-09-07,Uber Cab,-390,
2024-09-09,Netflix Subscription,-649,
2024-09-11,Zomato Order,-510,
2024-09-13,Electricity Bill BESCOM,-2200,
2024-09-15,Petrol Pump,-2600,
2024-09-16,Spotify Premium,-119,
2024-09-18,D-Mart Grocery,-3100,
2024-09-20,Pharmacy MedPlus,-1200,
2024-09-22,Swiggy Order,-470,
2024-09-24,Clothes Shopping Myntra,-4500,
2024-09-25,Jio Recharge,-299,
2024-09-27,Travel Flight Booking,-8900,
2024-09-28,Gym Membership,-1200,
2024-09-30,Ola Cab,-240,
2024-10-01,Salary October 2024,70000,
2024-10-03,Swiggy Order,-610,
2024-10-05,Flipkart Big Billion Day Sale,-12499,
2024-10-07,Uber Cab,-480,
2024-10-09,Netflix Subscription,-649,
2024-10-11,Zomato Order,-540,
2024-10-13,Electricity Bill BESCOM,-1900,
2024-10-15,Petrol Pump,-2700,
2024-10-16,Spotify Premium,-119,
2024-10-18,D-Mart Grocery,-3600,
2024-10-20,Pharmacy Apollo,-780,
2024-10-22,Swiggy Order,-490,
2024-10-24,Diwali Shopping Amazon,-8999,
2024-10-25,Jio Recharge,-299,
2024-10-26,Diwali Crackers,-2500,
2024-10-28,Restaurant Diwali Dinner,-3800,
2024-10-29,Gym Membership,-1200,
2024-11-01,Salary November 2024,72000,
2024-11-03,Swiggy Order,-570,
2024-11-05,Amazon Purchase,-2299,
2024-11-07,Uber Cab,-400,
2024-11-09,Netflix Subscription,-649,
2024-11-11,Zomato Order,-460,
2024-11-13,Electricity Bill BESCOM,-1750,
2024-11-15,Petrol Pump,-2500,
2024-11-16,Spotify Premium,-119,
2024-11-18,D-Mart Grocery,-3200,
2024-11-20,Pharmacy MedPlus,-650,
2024-11-22,Swiggy Order,-530,
2024-11-24,Movie Tickets BookMyShow,-940,
2024-11-25,Jio Recharge,-299,
2024-11-27,Restaurant Dinner,-1900,
2024-11-28,Gym Membership,-1200,
2024-11-30,Ola Cab,-290,
2024-12-01,Salary December 2024,72000,
2024-12-02,Year End Bonus,20000,
2024-12-03,Swiggy Order,-620,
2024-12-05,Flipkart Year End Sale,-6799,
2024-12-07,Uber Cab,-520,
2024-12-09,Netflix Subscription,-649,
2024-12-11,Zomato Order,-590,
2024-12-13,Electricity Bill BESCOM,-2050,
2024-12-15,Petrol Pump,-2900,
2024-12-16,Spotify Premium,-119,
2024-12-18,D-Mart Grocery,-4100,
2024-12-20,Pharmacy Apollo,-890,
2024-12-21,Swiggy Order,-680,
2024-12-22,Christmas Gifts Amazon,-5499,
2024-12-24,Concert New Year Eve,-3500,
2024-12-25,Jio Recharge,-299,
2024-12-27,Travel Hotel New Year,-12000,
2024-12-28,Gym Membership,-1200,
2024-12-30,Restaurant New Year Dinner,-4200,
2025-01-01,Salary January 2025,75000,
2025-01-03,Swiggy Order,-640,
2025-01-05,Amazon Purchase,-1899,
2025-01-07,Uber Cab,-440,
2025-01-09,Netflix Subscription,-699,
2025-01-11,Zomato Order,-520,
2025-01-13,Electricity Bill BESCOM,-1980,
2025-01-15,Petrol Pump,-3100,
2025-01-16,Spotify Premium,-179,
2025-01-18,D-Mart Grocery,-3700,
2025-01-20,Pharmacy MedPlus,-1100,
2025-01-22,Swiggy Order,-580,
2025-01-24,New Year Clothes Myntra,-5500,
2025-01-25,Jio Recharge,-349,
2025-01-27,Travel IRCTC,-2400,
2025-01-28,Gym Membership,-1500,
2025-01-30,Ola Cab,-350,
2025-02-01,Salary February 2025,75000,
2025-02-03,Swiggy Order,-660,
2025-02-05,Flipkart Purchase,-3499,
2025-02-07,Uber Cab,-470,
2025-02-09,Netflix Subscription,-699,
2025-02-11,Zomato Order,-540,
2025-02-13,Electricity Bill BESCOM,-1850,
2025-02-14,Valentine Dinner Restaurant,-4500,
2025-02-15,Petrol Pump,-3200,
2025-02-16,Spotify Premium,-179,
2025-02-18,D-Mart Grocery,-3500,
2025-02-20,Pharmacy Apollo,-750,
2025-02-22,Swiggy Order,-510,
2025-02-24,Jio Recharge,-349,
2025-02-26,Movie Tickets BookMyShow,-1100,
2025-02-28,Gym Membership,-1500,
2025-03-01,Salary March 2025,75000,
2025-03-02,Freelance Payment Received,22000,
2025-03-03,Swiggy Order,-690,
2025-03-05,Amazon Purchase,-4299,
2025-03-07,Uber Cab,-510,
2025-03-09,Netflix Subscription,-699,
2025-03-11,Zomato Order,-570,
2025-03-13,Electricity Bill BESCOM,-1900,
2025-03-15,Petrol Pump,-3300,
2025-03-16,Spotify Premium,-179,
2025-03-18,D-Mart Grocery,-3800,
2025-03-20,Pharmacy MedPlus,-1300,
2025-03-22,Swiggy Order,-620,
2025-03-24,Holi Celebration Shopping,-2800,
2025-03-25,Jio Recharge,-349,
2025-03-27,Restaurant Holi Party,-3100,
2025-03-28,Gym Membership,-1500,
2025-03-30,Ola Cab,-380,
2025-04-01,Salary April 2025,75000,
2025-04-03,Swiggy Order,-720,
2025-04-05,Flipkart Purchase,-2999,
2025-04-07,Uber Cab,-490,
2025-04-09,Netflix Subscription,-699,
2025-04-11,Zomato Order,-590,
2025-04-13,Electricity Bill BESCOM,-2300,
2025-04-15,Petrol Pump,-3400,
2025-04-16,Spotify Premium,-179,
2025-04-18,D-Mart Grocery,-4000,
2025-04-20,Pharmacy Apollo,-880,
2025-04-22,Swiggy Order,-660,
2025-04-24,Summer Clothes Shopping,-6200,
2025-04-25,Jio Recharge,-349,
2025-04-27,Travel Flight Booking,-11500,
2025-04-28,Gym Membership,-1500,
2025-04-30,Restaurant Dinner,-2400,
2025-05-01,Salary May 2025,78000,
2025-05-03,Swiggy Order,-750,
2025-05-05,Amazon Purchase,-3299,
2025-05-07,Uber Cab,-520,
2025-05-09,Netflix Subscription,-699,
2025-05-11,Zomato Order,-610,
2025-05-13,Electricity Bill BESCOM,-2500,
2025-05-15,Petrol Pump,-3500,
2025-05-16,Spotify Premium,-179,
2025-05-18,D-Mart Grocery,-4200,
2025-05-20,Pharmacy MedPlus,-950,
2025-05-22,Swiggy Order,-690,
2025-05-24,Movie Tickets BookMyShow,-1200,
2025-05-25,Jio Recharge,-349,
2025-05-27,Travel IRCTC,-3200,
2025-05-28,Gym Membership,-1500,
2025-05-30,Ola Cab,-420,
2025-06-01,Salary June 2025,78000,
2025-06-03,Swiggy Order,-780,
2025-06-05,Flipkart Purchase,-4299,
2025-06-07,Uber Cab,-540,
2025-06-09,Netflix Subscription,-699,
2025-06-11,Zomato Order,-630,
2025-06-13,Electricity Bill BESCOM,-2600,
2025-06-15,Petrol Pump,-3600,
2025-06-16,Spotify Premium,-179,
2025-06-18,D-Mart Grocery,-4400,
2025-06-20,Pharmacy Apollo,-980,
2025-06-22,Swiggy Order,-720,
2025-06-24,Monsoon Shopping Myntra,-5800,
2025-06-25,Jio Recharge,-349,
2025-06-27,Restaurant Dinner,-2800,
2025-06-28,Gym Membership,-1500,
2025-06-30,Ola Cab,-390,
2025-07-01,Salary July 2025,80000,
2025-07-02,Freelance Payment Received,25000,
2025-07-03,Swiggy Order,-810,
2025-07-05,Amazon Purchase,-6499,
2025-07-07,Uber Cab,-560,
2025-07-09,Netflix Subscription,-699,
2025-07-11,Zomato Order,-650,
2025-07-13,Electricity Bill BESCOM,-3200,
2025-07-15,Petrol Pump,-3700,
2025-07-16,Spotify Premium,-179,
2025-07-18,D-Mart Grocery,-4500,
2025-07-20,Pharmacy MedPlus,-1100,
2025-07-22,Swiggy Order,-760,
2025-07-24,Travel Hotel Booking,-8500,
2025-07-25,Jio Recharge,-349,
2025-07-27,New Phone Purchase,-42000,
2025-07-28,Gym Membership,-1500,
2025-07-30,Ola Cab,-450,
2025-08-01,Salary August 2025,80000,
2025-08-03,Swiggy Order,-830,
2025-08-05,Flipkart Independence Day Sale,-9899,
2025-08-07,Uber Cab,-580,
2025-08-09,Netflix Subscription,-699,
2025-08-11,Zomato Order,-670,
2025-08-13,Electricity Bill BESCOM,-3100,
2025-08-15,Petrol Pump,-3800,
2025-08-16,Spotify Premium,-179,
2025-08-18,D-Mart Grocery,-4600,
2025-08-20,Pharmacy Apollo,-850,
2025-08-22,Swiggy Order,-800,
2025-08-24,Movie Tickets BookMyShow,-1350,
2025-08-25,Jio Recharge,-349,
2025-08-27,Restaurant Dinner,-3100,
2025-08-28,Gym Membership,-1500,
2025-08-30,Ola Cab,-480,
2025-09-01,Salary September 2025,80000,
2025-09-03,Swiggy Order,-860,
2025-09-05,Amazon Purchase,-5299,
2025-09-07,Uber Cab,-590,
2025-09-09,Netflix Subscription,-699,
2025-09-11,Zomato Order,-690,
2025-09-13,Electricity Bill BESCOM,-2800,
2025-09-15,Petrol Pump,-3900,
2025-09-16,Spotify Premium,-179,
2025-09-18,D-Mart Grocery,-4700,
2025-09-20,Pharmacy MedPlus,-1400,
2025-09-22,Swiggy Order,-820,
2025-09-24,Onam Shopping,-4200,
2025-09-25,Jio Recharge,-349,
2025-09-27,Travel Flight Booking,-14000,
2025-09-28,Gym Membership,-1500,
2025-09-30,Ola Cab,-510,
2025-10-01,Salary October 2025,82000,
2025-10-03,Swiggy Order,-890,
2025-10-05,Flipkart Big Billion Day Sale,-15999,
2025-10-07,Uber Cab,-610,
2025-10-09,Netflix Subscription,-699,
2025-10-11,Zomato Order,-710,
2025-10-13,Electricity Bill BESCOM,-2500,
2025-10-15,Petrol Pump,-4000,
2025-10-16,Spotify Premium,-179,
2025-10-18,D-Mart Grocery,-4800,
2025-10-20,Pharmacy Apollo,-1050,
2025-10-22,Swiggy Order,-870,
2025-10-24,Diwali Shopping Amazon,-11500,
2025-10-25,Jio Recharge,-349,
2025-10-26,Diwali Crackers,-3500,
2025-10-28,Restaurant Diwali Dinner,-5200,
2025-10-29,Gym Membership,-1500,
2025-11-01,Salary November 2025,82000,
2025-11-03,Swiggy Order,-910,
2025-11-05,Amazon Purchase,-3299,
2025-11-07,Uber Cab,-630,
2025-11-09,Netflix Subscription,-699,
2025-11-11,Zomato Order,-730,
2025-11-13,Electricity Bill BESCOM,-2400,
2025-11-15,Petrol Pump,-4100,
2025-11-16,Spotify Premium,-179,
2025-11-18,D-Mart Grocery,-4900,
2025-11-20,Pharmacy MedPlus,-890,
2025-11-22,Swiggy Order,-940,
2025-11-24,Movie Tickets BookMyShow,-1500,
2025-11-25,Jio Recharge,-349,
2025-11-27,Restaurant Dinner,-3400,
2025-11-28,Gym Membership,-1500,
2025-11-30,Ola Cab,-530,
2025-12-01,Salary December 2025,82000,
2025-12-02,Year End Bonus,25000,
2025-12-03,Swiggy Order,-950,
2025-12-05,Flipkart Year End Sale,-8999,
2025-12-07,Uber Cab,-650,
2025-12-09,Netflix Subscription,-699,
2025-12-11,Zomato Order,-760,
2025-12-13,Electricity Bill BESCOM,-2600,
2025-12-15,Petrol Pump,-4200,
2025-12-16,Spotify Premium,-179,
2025-12-18,D-Mart Grocery,-5100,
2025-12-20,Pharmacy Apollo,-1100,
2025-12-21,Swiggy Order,-990,
2025-12-22,Christmas Gifts Amazon,-7500,
2025-12-24,Concert New Year Eve,-4500,
2025-12-25,Jio Recharge,-349,
2025-12-27,Travel Hotel New Year,-15000,
2025-12-28,Gym Membership,-1500,
2025-12-30,Restaurant New Year Dinner,-5500,
2026-01-01,Salary January 2026,85000,
2026-01-03,Swiggy Order,-980,
2026-01-05,Amazon Purchase,-2999,
2026-01-07,Uber Cab,-670,
2026-01-09,Netflix Subscription,-749,
2026-01-11,Zomato Order,-780,
2026-01-13,Electricity Bill BESCOM,-2700,
2026-01-15,Petrol Pump,-4300,
2026-01-16,Spotify Premium,-199,
2026-01-18,D-Mart Grocery,-5200,
2026-01-20,Pharmacy MedPlus,-1300,
2026-01-22,Swiggy Order,-1020,
2026-01-24,New Year Clothes Myntra,-7800,
2026-01-25,Jio Recharge,-399,
2026-01-27,Travel IRCTC,-3500,
2026-01-28,Gym Membership,-1800,
2026-01-30,Ola Cab,-580,
2026-02-01,Salary February 2026,85000,
2026-02-03,Swiggy Order,-1010,
2026-02-05,Flipkart Purchase,-5499,
2026-02-07,Uber Cab,-690,
2026-02-09,Netflix Subscription,-749,
2026-02-11,Zomato Order,-800,
2026-02-13,Electricity Bill BESCOM,-2600,
2026-02-14,Valentine Dinner Restaurant,-6500,
2026-02-15,Petrol Pump,-4400,
2026-02-16,Spotify Premium,-199,
2026-02-18,D-Mart Grocery,-5300,
2026-02-20,Pharmacy Apollo,-1150,
2026-02-22,Swiggy Order,-1050,
2026-02-24,Jio Recharge,-399,
2026-02-26,Movie Tickets BookMyShow,-1600,
2026-02-28,Gym Membership,-1800,
2026-03-01,Salary March 2026,85000,
2026-03-02,Freelance Payment Received,30000,
2026-03-03,Swiggy Order,-1040,
2026-03-05,Amazon Purchase,-6299,
2026-03-07,Uber Cab,-710,
2026-03-09,Netflix Subscription,-749,
2026-03-11,Zomato Order,-820,
2026-03-13,Electricity Bill BESCOM,-2800,
2026-03-15,Petrol Pump,-4500,
2026-03-16,Spotify Premium,-199,
2026-03-18,D-Mart Grocery,-5400,
2026-03-20,Pharmacy MedPlus,-1500,
2026-03-22,Swiggy Order,-1080,
2026-03-24,Holi Celebration Shopping,-3800,
2026-03-25,Jio Recharge,-399,
2026-03-27,Restaurant Holi Party,-4200,
2026-03-28,Gym Membership,-1800,
2026-03-30,Ola Cab,-620,
2026-04-01,Salary April 2026,85000,
2026-04-03,Swiggy Order,-1100,
2026-04-05,Flipkart Purchase,-4299,
2026-04-07,Uber Cab,-730,
2026-04-09,Netflix Subscription,-749,
2026-04-11,Zomato Order,-840,
2026-04-13,Electricity Bill BESCOM,-3100,
2026-04-15,Petrol Pump,-4600,
2026-04-16,Spotify Premium,-199,
2026-04-18,D-Mart Grocery,-5500,
2026-04-20,Pharmacy Apollo,-1200,
2026-04-22,Swiggy Order,-1130,
2026-04-24,Summer Clothes Shopping,-8500,
2026-04-25,Jio Recharge,-399,
2026-04-27,Travel Flight Booking,-16000,
2026-04-28,Gym Membership,-1800,
2026-04-30,Restaurant Dinner,-3600,
2026-05-01,Salary May 2026,85000,
2026-05-03,Swiggy Order,-1150,
2026-05-05,Amazon Purchase,-4599,
2026-05-07,Uber Cab,-750,
2026-05-09,Netflix Subscription,-749,
2026-05-11,Zomato Order,-860,
2026-05-13,Electricity Bill BESCOM,-3000,
2026-05-15,Petrol Pump,-4700,
2026-05-16,Spotify Premium,-199,
2026-05-18,D-Mart Grocery,-5600,
2026-05-20,Pharmacy MedPlus,-1100,
2026-05-22,Swiggy Order,-1180,
